Territory,Location type,31 Dec 2014,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023,31 Dec 2024
Barcelona,Municipi,9606,9606,9606,9606,9581,9547,9530,9391,9402,9818,10327
Ciutat Vella,Districte,604,604,602,602,607,607,607,605,616,648,733
el Raval,Barri,180,180,177,177,179,191,191,189,199,212,238
el Barri Gòtic,Barri,184,184,188,188,194,192,193,193,194,201,217
la Barceloneta,Barri,69,69,68,68,66,65,64,64,64,64,85
"Sant Pere, Santa Caterina i la Ribera",Barri,171,171,169,169,168,159,159,159,159,171,192
Eixample,Districte,4607,4607,4473,4473,4471,4467,4467,4403,4453,4467,4750
el Fort Pienc,Barri,343,343,331,331,331,332,332,330,328,333,360
la Sagrada Família,Barri,794,794,772,772,768,768,765,755,750,750,817
la Dreta de l'Eixample,Barri,1747,1747,1653,1653,1664,1660,1662,1650,1631,1655,1741
l'Antiga Esquerra de l'Eixample,Barri,727,727,709,709,708,710,709,688,670,678,718
la Nova Esquerra de l'Eixample,Barri,428,428,418,418,413,413,413,404,520,484,506
Sant Antoni,Barri,568,568,590,590,587,584,586,576,554,567,607
Sants-Montjuïc,Districte,1137,1137,1164,1164,1174,1169,1169,1141,1113,1195,1235
el Poble-sec,Barri,546,546,518,518,519,519,515,498,487,513,538
la Marina del Prat Vermell,Barri,3,3,3,3,3,3,3,3,3,3,3
la Marina de Port,Barri,6,6,7,7,7,7,6,6,6,6,6
la Font de la Guatlla,Barri,74,74,73,73,73,73,73,73,73,131,132
Hostafrancs,Barri,187,187,168,168,177,172,177,175,174,177,176
la Bordeta,Barri,42,42,44,44,44,44,44,39,30,30,35
Sants - Badal,Barri,90,90,106,106,106,106,106,103,97,97,99
Sants,Barri,189,189,245,245,245,245,245,244,243,238,245
Les Corts,Districte,215,215,267,267,266,265,261,257,256,270,260
les Corts,Barri,171,171,210,210,209,208,206,202,201,211,201
la Maternitat i Sant Ramon,Barri,36,36,46,46,46,46,44,44,44,48,48
Pedralbes,Barri,8,8,11,11,11,11,11,11,11,11,11
Sarrià-Sant Gervasi,Districte,512,512,506,506,497,485,484,491,491,621,635
"Vallvidrera, el Tibidabo i les Planes",Barri,3,3,3,3,3,3,3,3,3,3,3
Sarrià,Barri,23,23,27,27,27,27,27,26,26,27,29
les Tres Torres,Barri,31,31,35,35,35,35,35,34,33,34,36
Sant Gervasi - la Bonanova,Barri,26,26,33,33,32,32,32,32,36,68,72
Sant Gervasi - Galvany,Barri,271,271,254,254,244,244,244,242,239,291,295
el Putxet i el Farró,Barri,158,158,154,154,156,144,143,154,154,198,199
Gràcia,Districte,1081,1081,1081,1081,1077,1071,1069,1051,1040,1081,1115
Vallcarca i els Penitents,Barri,35,35,40,40,40,40,40,40,39,39,39
el Coll,Barri,13,13,20,20,20,20,20,20,20,20,20
la Salut,Barri,35,35,38,38,37,37,37,36,36,37,37
la Vila de Gràcia,Barri,768,768,754,754,753,750,749,734,725,762,794
el Camp d'en Grassot i Gràcia Nova,Barri,230,230,229,229,227,224,223,221,220,223,225
Horta-Guinardó,Districte,198,198,259,259,259,244,238,218,215,226,238
el Baix Guinardó,Barri,87,87,106,106,106,92,92,76,73,81,86
Can Baró,Barri,13,13,20,20,20,20,20,20,20,20,25
el Guinardó,Barri,54,54,75,75,75,75,70,70,70,74,74
la Font d'en Fargues,Barri,2,2,4,4,4,4,4,4,4,4,4
el Carmel,Barri,26,26,33,33,33,33,33,31,32,32,34
la Teixonera,Barri,9,9,9,9,9,9,9,7,6,5,5
Sant Genís dels Agudells,Barri,3,3,4,4,4,3,3,3,3,3,3
la Vall d'Hebron,Barri,-,-,1,1,1,1,1,1,1,1,1
Horta,Barri,4,4,7,7,7,7,6,6,6,6,6
Nou Barris,Districte,19,19,22,22,21,29,29,29,29,40,41
Vilapicina i la Torre Llobeta,Barri,6,6,9,9,9,9,9,9,9,17,17
Porta,Barri,2,2,2,2,2,10,10,10,10,12,12
el Turó de la Peira,Barri,-,-,-,-,-,-,-,-,-,1,1
la Guineueta,Barri,1,1,1,1,1,1,1,1,1,1,1
Canyelles,Barri,1,1,1,1,1,1,1,1,1,1,2
les Roquetes,Barri,3,3,2,2,2,2,2,2,2,2,2
Verdun,Barri,2,2,3,3,3,3,3,3,3,3,3
la Prosperitat,Barri,4,4,4,4,3,3,3,3,3,3,3
Sant Andreu (District),-,69,69,79,79,78,78,77,76,76,89,94
la Trinitat Vella,Barri,5,5,4,4,4,4,4,4,4,5,5
el Bon Pastor,Barri,1,1,1,1,1,1,1,1,1,1,1
Sant Andreu (Neighborhood),-,27,27,29,29,28,28,28,27,27,33,34
la Sagrera,Barri,21,21,22,22,22,22,22,22,22,22,23
el Congrés i els Indians,Barri,4,4,6,6,6,6,6,6,6,6,6
Navas,Barri,11,11,17,17,17,17,16,16,16,22,25
Sant Martí,Districte,1164,1164,1153,1153,1131,1132,1129,1120,1113,1181,1226
el Camp de l'Arpa del Clot,Barri,270,270,267,267,265,266,266,266,267,292,295
el Clot,Barri,50,50,51,51,50,50,50,48,46,49,52
el Parc i la Llacuna del Poblenou,Barri,101,101,103,103,101,101,98,98,98,100,101
la Vila Olímpica del Poblenou,Barri,111,111,111,111,108,108,108,107,105,105,106
el Poblenou,Barri,406,406,395,395,389,389,390,388,386,422,453
Diagonal Mar i el Front Marítim del Poblenou,Barri,145,145,129,129,128,128,127,126,125,125,128
el Besòs i el Maresme,Barri,30,30,32,32,32,32,32,32,32,32,32
Provençals del Poblenou,Barri,36,36,41,41,34,34,34,32,31,33,35
Sant Martí de Provençals,Barri,9,9,15,15,15,15,15,14,14,14,14
la Verneda i la Pau,Barri,6,6,9,9,9,9,9,9,9,9,9